Short Item No,Xref Type,Address Number,Customer/Supplier Item Number,Expired Date,Effective Date,Business Unit,"Description ",Description Line 2,Search Text Compressed,2nd Item Number,3rd Item Number,User Code,User Date,User Amount,User Number,User Reference,User ID,Program ID,Work Stn ID,Date Updated,Time of Day,Adjustment Indicator,Base Price Indicator,Customer/Supplier Item Revision Level,Substitute Ratio,Substitute Priority,"APS Substitute ",Transfer Demand,Card Number
1346,C,1024,44306TVC D520M1,12/31/2040,06/29/2017,,Parent Item Honda Accord,BJ109LBG16,44306TVCD520M1,BJ109LBG16,BJ109LBG16,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105101,,,,,,Y,,
1347,C,1024,44305TVC A920M1,12/31/2040,03/15/2017,,Parent Item Honda Accord,BJ109LBG11,44305TVCA920M1,BJ109LBG11,BJ109LBG11,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105101,,,,,,Y,,
1348,C,1024,44306TVC A920M1,12/31/2040,03/15/2017,,Parent Item Honda Accord,BJ109LBG12,44306TVCA920M1,BJ109LBG12,BJ109LBG12,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105101,,,,,,Y,,
1368,C,1023,1044119-00-C,12/31/2040,05/09/2017,,Parent Item Tesla Model 3,EBJ95MBG16,1044119-00-C,EBJ95MBG16,EBJ95MBG16,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105101,,,,,,Y,,
1847,C,1633,44305TJB A010M1,12/31/2040,07/17/2017,,Parent Item Honda RDX,BJ109LBP26A,44305TJBA010M1,BJ109LBP26A,BJ109LBP26A,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105101,,,,,,Y,,
1848,C,1633,44306TJB A010M1,12/31/2040,07/17/2017,,Parent Item Honda RDX,BJ109LBP27,44306TJBA010M1,BJ109LBP27,BJ109LBP27,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105101,,,,,,Y,,
1850,C,1633,44305TJB R010M1,12/31/2040,07/17/2017,,Parent Item Honda RDX,BJ109LBP38,44305TJBR010M1,BJ109LBP38,BJ109LBP38,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105101,,,,,,Y,,
1851,C,1633,44306TJB R010M1,12/31/2040,07/17/2017,,Parent Item Honda RDX,BJ109LBP39,44306TJBR010M1,BJ109LBP39,BJ109LBP39,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105101,,,,,,Y,,
1917,C,1633,44305TJB A510M1,12/31/2040,07/17/2017,,Parent Item Honda Accord,BJ104LBP150,44305TJBA510M1,BJ104LBP150,BJ104LBP150,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105101,,,,,,Y,,
1918,C,1633,44306TJB A510M1,12/31/2040,07/17/2017,,Parent Item Honda Accord,BJ104LBP151,44306TJBA510M1,BJ104LBP151,BJ104LBP151,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105101,,,,,,Y,,
1919,C,1633,44305TJB R510M1,12/31/2040,07/17/2017,,Parent Item Honda Accord,BJ104LBP152,44305TJBR510M1,BJ104LBP152,BJ104LBP152,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105101,,,,,,Y,,
1920,C,1633,44306TJB R510M1,12/31/2040,07/17/2017,,Parent Item Honda Accord,BJ104LBP153,44306TJBR510M1,BJ104LBP153,BJ104LBP153,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105101,,,,,,Y,,
2195,C,1023,1007719-00-C,12/31/2040,03/01/2018,,Parent Item Tesla Model S/X,EBJ100MBP298B,1007719-00-C,EBJ100MBP298B,EBJ100MBP298B,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105101,,,,,,Y,,
2196,C,1023,1027161-00-C,12/31/2040,03/01/2018,,Parent Item Tesla Model S/X,EBJ100MBP326B,1027161-00-C,EBJ100MBP326B,EBJ100MBP326B,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105101,,,,,,Y,,
2197,C,1023,104119-00-C,12/31/2040,03/01/2018,,Parent Item Tesla Model 3,EBJ95MBG16A,104119-00-C,EBJ95MBG16A,EBJ95MBG16A,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105101,,,,,,Y,,
2351,C,1024,44305TZ5 A310M1,12/31/2040,05/04/2018,,Parent Item Honda MDX,BJ104LBG12B,44305TZ5A310M1,BJ104LBG12B,BJ104LBG12B,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105101,,,,,,Y,,
2353,C,,44306TZ5 A310M1,12/31/2040,05/04/2018,,Parent Item Honda MDX,BJ104LBG13B,44306TZ5A310M1,BJ104LBG13B,BJ104LBG13B,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105101,,,,,,Y,,
2780,C,1023,1030616-00-B,12/31/2040,08/08/2018,,Parent Item Tesla S/X Front,EBJ100MBG49A,1030616-00-B,EBJ100MBG49A,EBJ100MBG49A,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105101,,,,,,Y,,
2781,C,1023,1030615-00-B,12/31/2040,08/08/2018,,Parent Item Tesla S/X Front,EBJ100MBG50A,1030615-00-B,EBJ100MBG50A,EBJ100MBG50A,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105101,,,,,,Y,,
2782,C,1023,1027115-00-B,12/31/2040,08/08/2018,,Parent Item Tesla S/X Front,EBJ100MBG51B,1027115-00-B,EBJ100MBG51B,EBJ100MBG51B,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105101,,,,,,Y,,
2783,C,1023,1027111-00-B,12/31/2040,08/08/2018,,Parent Item Tesla S/X Front,EBJ100MBG52B,1027111-00-B,EBJ100MBG52B,EBJ100MBG52B,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105101,,,,,,Y,,
13070,C,1024,44305TLA A011M1,12/31/2040,12/12/2019,,Parent Item Honda CR-V,BJ95LBP148,44305TLAA011M1,BJ95LBP148,BJ95LBP148,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105102,,,,,,Y,,
13070,C,1633,44305TLA A011M1,12/31/2040,12/12/2019,,Parent Item Honda CR-V,BJ95LBP148,44305TLAA011M1,BJ95LBP148,BJ95LBP148,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105102,,,,,,Y,,
13070,C,2172,44305TLA A011M1,12/31/2040,12/12/2019,,Parent Item Honda CR-V,BJ95LBP148,44305TLAA011M1,BJ95LBP148,BJ95LBP148,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105102,,,,,,Y,,
13070,C,35259,44305TLA A011M1,12/31/2040,04/16/2019,,Parent Item Honda CR-V,BJ95LBP148,44305TLAA011M1,BJ95LBP148,BJ95LBP148,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105102,,,,,,Y,,
13071,C,1024,44306TLA A011M1,12/31/2040,12/12/2019,,Parent Item Honda CR-V,BJ95LBP149,44306TLAA011M1,BJ95LBP149,BJ95LBP149,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105102,,,,,,Y,,
13071,C,1633,44306TLA A011M1,12/31/2040,12/12/2019,,Parent Item Honda CR-V,BJ95LBP149,44306TLAA011M1,BJ95LBP149,BJ95LBP149,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105102,,,,,,Y,,
13071,C,2172,44306TLA A011M1,12/31/2040,12/12/2019,,Parent Item Honda CR-V,BJ95LBP149,44306TLAA011M1,BJ95LBP149,BJ95LBP149,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105102,,,,,,Y,,
13071,C,35259,44306TLA A011M1,12/31/2040,04/16/2019,,Parent Item Honda CR-V,BJ95LBP149,44306TLAA011M1,BJ95LBP149,BJ95LBP149,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105102,,,,,,Y,,
13072,C,,4430TLCA011M1,12/31/2040,04/16/2019,,Parent Item Honda CR-V,BJ95LBP150,4430TLCA011M1,BJ95LBP150,BJ95LBP150,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105102,,,,,,Y,,
13073,C,,44306TLCA011M1,12/31/2040,04/16/2019,,Parent Item Honda CR-V,BJ95LBP151,44306TLCA011M1,BJ95LBP151,BJ95LBP151,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105102,,,,,,Y,,
13074,C,,44305TMGT111M1,12/31/2040,04/16/2019,,Parent Item Honda CR-V,BJ95LBP152,44305TMGT111M1,BJ95LBP152,BJ95LBP152,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105102,,,,,,Y,,
13075,C,1633,44305TLC K010M1,12/31/2040,04/16/2019,,Parent Item Honda CR-V,BJ95LBP183,44305TLCK010M1,BJ95LBP183,BJ95LBP183,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105102,,,,,,Y,,
13076,C,1633,44306TLC K010M1,12/31/2040,04/16/2019,,Parent Item Honda CR-V,BJ95LBP184,44306TLCK010M1,BJ95LBP184,BJ95LBP184,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105102,,,,,,Y,,
13791,C,1023,1030616-00-C,12/31/2040,09/13/2018,,Parent Item Tesla S/X Front,EBJ100MBG49C,1030616-00-C,EBJ100MBG49C,EBJ100MBG49C,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105102,,,,,,Y,,
13792,C,1023,1030615-00-C,12/31/2040,09/13/2018,,Parent Item Tesla S/X Front,EBJ100MBG50C,1030615-00-C,EBJ100MBG50C,EBJ100MBG50C,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105102,,,,,,Y,,
13793,C,1023,1027115-00-C,12/31/2040,09/13/2018,,Parent Item Tesla S/X Front,EBJ100MBG51D,1027115-00-C,EBJ100MBG51D,EBJ100MBG51D,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105102,,,,,,Y,,
13794,C,1023,1027111-00-C,12/31/2040,09/13/2018,,Parent Item Tesla S/X Front,EBJ100MBG52D,1027111-00-C,EBJ100MBG52D,EBJ100MBG52D,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105102,,,,,,Y,,
13846,C,1023,1138042-00-A,12/31/2040,10/03/2018,,Parent Item Tesla Raven,EBJ100MBG164,1138042-00-A,EBJ100MBG164,EBJ100MBG164,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105102,,,,,,Y,,
13847,C,1023,1027113-00-A,12/31/2040,10/03/2018,,Parent Item Tesla Raven,EBJ100MBG163,1027113-00-A,EBJ100MBG163,EBJ100MBG163,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105102,,,,,,Y,,
13848,C,1023,1027119-00-A,12/31/2040,10/03/2018,,Parent Item Tesla Raven,EBJ100MBG165,1027119-00-A,EBJ100MBG165,EBJ100MBG165,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105102,,,,,,Y,,
13849,C,1023,1138040-00-A,12/31/2040,10/03/2018,,Parent Item Tesla Raven,EBJ100MBG161,1138040-00-A,EBJ100MBG161,EBJ100MBG161,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105102,,,,,,Y,,
13887,C,1633,44305TLA K011M1,12/31/2040,04/16/2019,,Parent Item Honda CR-V,BJ95LBP138,44305TLAK011M1,BJ95LBP138,BJ95LBP138,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105102,,,,,,Y,,
13888,C,1633,44306TLA K011M1,12/31/2040,04/16/2019,,Parent Item Honda CR-V,BJ95LBP139,44306TLAK011M1,BJ95LBP139,BJ95LBP139,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105102,,,,,,Y,,
13958,C,1023,1030616-00-D,12/31/2040,11/07/2018,,Parent Item Tesla S/X Front,EBJ100MBG49D,1030616-00-D,EBJ100MBG49D,EBJ100MBG49D,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105102,,,,,,Y,,
13959,C,1023,1030615-00-D,12/31/2040,11/07/2018,,Parent Item Tesla S/X Front,EBJ100MBG50D,1030615-00-D,EBJ100MBG50D,EBJ100MBG50D,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105102,,,,,,Y,,
13960,C,1023,1027115-00-D,12/31/2040,11/07/2018,,Parent Item Tesla S/X Front,EBJ100MBG51E,1027115-00-D,EBJ100MBG51E,EBJ100MBG51E,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105102,,,,,,Y,,
13961,C,1023,1027111-00-D,12/31/2040,11/07/2018,,Parent Item Tesla S/X Front,EBJ100MBG52E,1027111-00-D,EBJ100MBG52E,EBJ100MBG52E,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105102,,,,,,Y,,
14015,C,1633,44306TZ5 A310M1,12/31/2040,04/23/2019,,Parent Item Honda MDX,BJ104LBG13C,44306TZ5A310M1,BJ104LBG13C,BJ104LBG13C,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105102,,,,,,Y,,
14015,C,35241,44306TZ5 A310M1,12/31/2040,03/12/2019,,Parent Item Honda MDX,BJ104LBG13C,44306TZ5A310M1,BJ104LBG13C,BJ104LBG13C,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105102,,,,,,Y,,
14017,C,1633,44306TZ5 R312M1,12/31/2040,05/16/2019,,Parent Item Honda MDX,BJ104LBG21B,44306TZ5R312M1,BJ104LBG21B,BJ104LBG21B,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105102,,,,,,Y,,
14017,C,35241,44306TZ5 R312M1,12/31/2040,05/16/2019,,Parent Item Honda MDX,BJ104LBG21B,44306TZ5R312M1,BJ104LBG21B,BJ104LBG21B,,,,,,JHODSON,EP4104,OMCSCABYCO,12/04/2020,105119,,,,,,Y,,
14019,C,35240,44306THR A010M1,12/31/2040,04/08/2019,,Parent Item Honda Odyssey,BJ109LBG02B,44306THRA010M1,BJ109LBG02B,BJ109LBG02B,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105102,,,,,,Y,,
14021,C,35240,44306THR R010M1,12/31/2040,04/08/2019,,Parent Item Honda Odyssey,BJ109LBG04B,44306THRR010M1,BJ109LBG04B,BJ109LBG04B,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105102,,,,,,Y,,
14116,C,1023,1044119-00-D,12/31/2040,11/21/2018,,Parent Item Tesla Model 3,EBJ95MBG16B,1044119-00-D,EBJ95MBG16B,EBJ95MBG16B,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105102,,,,,,Y,,
14141,C,35240,44306T6Z A210M1,12/31/2040,03/13/2019,,Parent Item Honda Ridgeline,BJ104LBG82,44306T6ZA210M1,BJ104LBG82,BJ104LBG82,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105102,,,,,,Y,,
14241,C,1024,44305TGV A010M1,12/31/2040,09/15/2020,,Parent Item Honda TVGA,BJ104LBG85,44305TGVA010M1,BJ104LBG85,BJ104LBG85,,,,,,JHODSON,EP4104,OMCSCABPFA,09/15/2020,95339,,,,,,Y,,
14242,C,1024,44306TGV A010M1,12/31/2040,09/15/2020,,Parent Item Honda TVGA,BJ104LBG86,44306TGVA010M1,BJ104LBG86,BJ104LBG86,,,,,,JHODSON,EP4104,OMCSCABPFA,09/15/2020,95355,,,,,,Y,,
14494,C,1632,44306TMA H000M1,12/31/2040,02/24/2020,,Parent Item Honda CR-V HFEV,BJ104LBP139#P,44306TMAH000M1,BJ104LBP139,BJ104LBP139,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105102,,,,,,Y,,
14494,C,1633,44306TMA H000M1,12/31/2040,04/16/2019,,Parent Item Honda RDX,BJ104LBP139,44306TMAH000M1,BJ104LBP139,BJ104LBP139,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105102,,,,,,Y,,
14494,C,2172,44306TMA H000M1,12/31/2040,01/23/2020,,Parent Item Honda CR-V HFEV,BJ104LBP139,44306TMAH000M1,BJ104LBP139,BJ104LBP139,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105102,,,,,,Y,,
14495,C,2172,44305TPG K010M1,12/31/2040,04/16/2019,,Parent Item Honda RDX,BJ104LBP156,44305TPGK010M1,BJ104LBP156,BJ104LBP156,,,,,,JHODSON,EP4104,OMCSCABYCO,12/04/2020,105605,,,,,,Y,,
14496,C,2172,44306TPG K010M1,12/31/2040,04/16/2019,,Parent Item Honda RDX,BJ104LBP157,44306TPGK010M1,BJ104LBP157,BJ104LBP157,,,,,,JHODSON,EP4104,OMCSCABYCO,12/04/2020,105549,,,,,,Y,,
14596,C,1023,1138042-00-B,12/31/2040,03/14/2019,,Parent Item Tesla Raven,EBJ100MBG164A,1138042-00-B,EBJ100MBG164A,EBJ100MBG164A,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105102,,,,,,Y,,
14597,C,1023,1027113-00-B,12/31/2040,03/14/2019,,Parent Item Tesla Raven,EBJ100MBG163A,1027113-00-B,EBJ100MBG163A,EBJ100MBG163A,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105102,,,,,,Y,,
14598,C,1023,1027119-00-B,12/31/2040,03/14/2019,,Parent Item Tesla Raven,EBJ100MBG165A,1027119-00-B,EBJ100MBG165A,EBJ100MBG165A,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105102,,,,,,Y,,
14599,C,1023,1138040-00-B,12/31/2040,03/14/2019,,Parent Item Tesla,EBJ100MBG161A,1138040-00-B,EBJ100MBG161A,EBJ100MBG161A,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105102,,,,,,Y,,
14604,C,35240,44305T6Z R210M1,12/31/2040,03/13/2019,,Parent Item Honda Ridgeline,BJ104LBG83,44305T6ZR210M1,BJ104LBG83,BJ104LBG83,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105102,,,,,,Y,,
14605,C,35240,44306T6Z R210M1,12/31/2040,03/13/2019,,Parent Item Honda Ridgeline,BJ104LBG84,44306T6ZR210M1,BJ104LBG84,BJ104LBG84,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105102,,,,,,Y,,
200482,C,1633,44306TYAA R000M1,12/31/2040,07/09/2019,,Parent Item Honda,BJ109LBP67,44306TYAAR000M1,BJ109LBP67,BJ109LBP67,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105426,,,,,,Y,,
200483,C,1633,44306TYAA A000M1,12/31/2040,07/09/2019,,Parent Item Honda,BJ109LBP65,44306TYAAA000M1,BJ109LBP65,BJ109LBP65,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105426,,,,,,Y,,
200484,C,1633,44305TYAA R000M1,12/31/2040,07/09/2019,,Parent Item Honda,BJ109LBP66,44305TYAAR000M1,BJ109LBP66,BJ109LBP66,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105426,,,,,,Y,,
200490,C,1633,44305TYAA A000M1,12/31/2040,07/09/2019,,Parent Item Honda,BJ109LBP64,44305TYAAA000M1,BJ109LBP64,BJ109LBP64,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105426,,,,,,Y,,
230721,C,1632,44305TMA H000M1,12/31/2040,12/04/2020,,Parent Item Honda CR-V HFEV,BJ104LBP138A#p,44305TMAH000M1,BJ104LBP138A,BJ104LBP138A,,,,,,JHODSON,EP4104,OMCSCABYCO,12/04/2020,104820,,,,,,Y,,
230721,C,1633,44305TMA H000M1,12/31/2040,12/04/2020,,Parent Item Honda CR-V HFEV,BJ104LBP138A,44305TMAH000M1,BJ104LBP138A,BJ104LBP138A,,,,,,JHODSON,EP4104,OMCSCABYCO,12/04/2020,104820,,,,,,Y,,
230721,C,2172,44305TMA H000M1,12/31/2040,04/30/2020,,Parent Item Honda CR-V HFEV,BJ104LBP138A,44305TMAH000M1,BJ104LBP138A,BJ104LBP138A,,,,,,JHODSON,EP4104,OMCSCABYCO,12/04/2020,104651,,,,,,Y,,
230734,C,1024,44305TWA A010M1,12/31/2040,09/15/2020,,Parent Item Honda Accord,BJ104LBG69A,44305TWAA010M1,BJ104LBG69A,BJ104LBG69A,,,,,,JHODSON,EP4104,OMCSCABYCO,12/04/2020,73823,,,,,,Y,,
321068,C,1633,44305TZ5 A310M1,12/31/2040,09/15/2020,,Parent Item Honda MDX,BJ104LBG12D,44305TZ5A310M1,BJ104LBG12D,BJ104LBG12D,,,,,,JHODSON,EP4104,OMCSCABPFA,09/15/2020,80923,,,,,,Y,,
321068,C,35241,44305TZ5 A310M1,12/31/2040,09/15/2020,,Parent Item Honda MDX,BJ104LBG12D,44305TZ5A310M1,BJ104LBG12D,BJ104LBG12D,,,,,,JHODSON,EP4104,OMCSCABPFA,09/15/2020,80923,,,,,,Y,,
321069,C,1024,44305TWA D010M1,12/31/2040,12/04/2020,,Parent Item Honda Accord,BJ104LBG71A,44305TWAD010M1,BJ104LBG71A,BJ104LBG71A,,,,,,JHODSON,EP4104,OMCSCABYCO,12/04/2020,104122,,,,,,Y,,
321070,C,1633,44305TZ5 R312M1,12/31/2040,12/04/2020,,Parent Item Honda MDX,BJ104LBG20C,44305TZ5R312M1,BJ104LBG20C,BJ104LBG20C,,,,,,JHODSON,EP4104,OMCSCABYCO,12/04/2020,105006,,,,,,Y,,
321070,C,35241,44305TZ5 R312M1,12/31/2040,12/04/2020,,Parent Item Honda MDX,BJ104LBG20C,44305TZ5R312M1,BJ104LBG20C,BJ104LBG20C,,,,,,JHODSON,EP4104,OMCSCABYCO,12/04/2020,105006,,,,,,Y,,
321071,C,35240,44305THR A010M1,12/31/2040,09/15/2020,,Parent Item Honda Odyssey,BJ109LBG01C,44305THRA010M1,BJ109LBG01C,BJ109LBG01C,,,,,,JHODSON,EP4104,OMCSCABPFA,09/15/2020,81112,,,,,,Y,,
321072,C,35240,44305THR R010M1,12/31/2040,12/10/2020,,Parent Item Honda Odyssey,BJ109LBG03C,44305THRR010M1,BJ109LBG03C,BJ109LBG03C,,,,,,JHODSON,EP4104,OMCSCABJNO,12/10/2020,103533,,,,,,Y,,
321073,C,35240,44305T6Z A210M1,12/31/2040,09/15/2020,,Parent Item Honda Ridgeline,BJ104LBG81A,44305T6ZA210M1,BJ104LBG81A,BJ104LBG81A,,,,,,JHODSON,EP4104,OMCSCABPFA,09/15/2020,81031,,,,,,Y,,
321074,C,35240,44305T6Z R210M1,12/31/2040,07/20/2020,,Parent Item Honda Ridgeline,BJ104LBG83A,44305T6ZR210M1,BJ104LBG83A,BJ104LBG83A,,,,,,DRANCE,EP4104,OMCSCABPFA,07/20/2020,152847,,,,,,Y,,
324342,C,,A2963300000,12/31/2040,03/22/2022,,Parent Item Diamler,VUJ104BE54,A2963300000,VUJ104BE54,VUJ104BE54,,,,,,JHODSON,EP4104,OMCSCABLEX,03/22/2022,93720,,,,,,Y,,
324343,C,,A2963306200,12/31/2040,03/22/2022,,Parent Item Diamler,VUJ104BE55,A2963306200,VUJ104BE55,VUJ104BE55,,,,,,JHODSON,EP4104,OMCSCABLEX,03/22/2022,93757,,,,,,Y,,
325104,C,,A2963503900,12/31/2040,03/22/2022,,Parent Item Diamler,EBJ125MBE70,A2963503900,EBJ125MBE70,EBJ125MBE70,,,,,,JHODSON,EP4104,OMCSCABLEX,03/22/2022,94053,,,,,,Y,,
325105,C,,A2963504000,12/31/2040,03/22/2022,,Parent Item Diamler,EBJ125MBE71,A2963504000,EBJ125MBE71,EBJ125MBE71,,,,,,JHODSON,EP4104,OMCSCABLEX,03/22/2022,94139,,,,,,Y,,
